"tabela","linhas"
"ECFMovimentoCaixa","0"
"ECFProdutos","0"
"EFD_REGISTRO_150","0"
"email_enviado","0"
"DESIGNER","0"
"DadosBancarios","0"
"Etiquetas","0"
"Etiquetas_Campos","0"
"Etiquetas_Textos","0"
"Fabrica","0"
"Factura","0"
"FacturaImport","0"
"FacturaIVA","0"
"FacturaProduto","0"
"Porcentagem_Tributos","0"
"pedido_luminaria_det","0"
"pedido_materiais_det","0"
"pedido_servico_det","0"
"ParametrosRTGrupoProdutosDesconto","0"
"PDVCaixa","0"
"PDVSangria","0"
"PDVSuprimento","0"
"pedido","0"
"orcamento","0"
"Orcamento_luminaria_det","0"
"orcamento_materiais_det","0"
"Orcamento_servico_det","0"
"PromocaoEstoque","0"
"PromocaoProdutos","0"
"QuadroCargas","0"
"QuadroCargasProjeto","0"
"ProdutosRelacionadosCadProdutosAcab","0"
"ProdutosCaracteristicas","0"
"ProdutosLocEstoque","0"
"ProdutosPromPrioritario","0"
"ProdutosPromPrioritarioDet","0"
"Rateio","0"
"RateioDet","0"
"ProdutosServiços","0"
"Saida_comp_luminaria_det","0"
"Saida_comp_materiais_det","0"
"Saida_comp_servico_det","0"
"Saida_complementacao","0"
"Itens_VendaTEF","0"
"Indicacoes_Funcionario","0"
"Horarios","0"
"HorariosDatas","0"
"HorariosDatasDetalhe","0"
"login","0"
"Marca","0"
"MDFe","0"
"MDFeCIOT","0"
"MDFeCondutor","0"
"MDFeContratante","0"
"MDFeCTE","0"
"MDFeLacre","0"
"MDFeMunCarregamento","0"
"MDFeMunicipioDescarregamento","0"
"MDFeNFE","0"
"MDFeReboque","0"
"MDFeSeguro","0"
"MDFeSeguroAverbacao","0"
"MDFeUFPercurso","0"
"MDFeUnidadeCarga","0"
"MDFeUnidadeCargaLacre","0"
"MDFeUnidadeTransporte","0"
"MDFeValePedagio","0"
"NFCONFIG","0"
"NFCONFIGDET","0"
"NFCONFIGDET_LABEL","0"
"NFEInutilizarNum","0"
"NFeObservacao","0"
"NFSe","0"
"NFSeItens","0"
"Motivo_devolucao_tipo","0"
"NotaFiscalTroca","0"
"ordem_compra_Pag","0"
"OrdemCompraDetExt","0"
"OrdemCompraExt","0"
"OrdemServico","0"
"OrdemServicoAmbiente","0"
"OrdemServicoItem","0"
"OrdemServicoProduto","0"
"SisUsuariosGrupo","0"
"SisUsuariosEmpresa","0"
"tamanho","0"
"Tipo_Relatorio","0"
"TipoLinha","0"
"TipoMotivo","0"
"TiposContatos","0"
"VendaEmail","0"
"VendaEstoque","0"
"Transferencia_filiais","0"
"Transferencia_filiais_produtos","0"
"TransfIndicacao","0"
"TransfIndicacaoDet","0"
"TributacaoServico","0"
"Venda_TEF","0"
"VendaDataEntrega","0"
"VendaDataRetorno","0"
