"fk","tabela_origem","coluna_origem","tabela_destino","coluna_destino"
"FK_ComissaoPremiacaoGrup_ComissaoPremiacao","ComissaoPremiacaoGrup","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_ComissaoPremiacaoGrup_GrupoProduto","ComissaoPremiacaoGrup","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_ComissaoPremiacaoTpVenda_CategoriaVenda","ComissaoPremiacaoTpVenda","CatVen_Codigo","CategoriaVenda","CatVen_Codigo"
"FK_ComissaoPremiacaoTpVenda_ComissaoPremiacao","ComissaoPremiacaoTpVenda","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_ComissaoPremiacao_VlGruPro","ComissaoPremiacaoVlGruPro","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_VlGruPro_GrupoProduto","ComissaoPremiacaoVlGruPro","GrupoProduto_Codigo","GrupoProduto","GrupoProduto_Codigo"
"FK_ComissaoPremiacaoVlVCatRem_CategoriaRemuneracao","ComissaoPremiacaoVlVCatRem","CatRem_Codigo","CategoriaRemuneracao","CatRem_Codigo"
"FK_ComissaoPremiacaoVlVCatRem_ComissaoPremiacao","ComissaoPremiacaoVlVCatRem","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_ComissaoPremiacaoVlVenda_ComissaoPremiacao","ComissaoPremiacaoVlVenda","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_contabilista_Municipio","contabilista","mun_codigo","Municipio","mun_codigo"
"FK_contas_apagar_Centro_de_custo","contas_apagar","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK_contas_apagar_Plano_Contas","contas_apagar","Pco_codigo","Plano_Contas","Pco_codigo"
"FK_contas_apagar_TipoContaFinanceira","contas_apagar","Tcf_codigo","TipoContaFinanceira","Tcf_codigo"
"FK__Contas_Bancarias__24B26D99","Contas_Bancarias","Bcx_codigo","Bancos_Caixas","Bcx_codigo"
"FK__Contas_Bancarias__24B26D99","Contas_Bancarias","Emp_codigo","Bancos_Caixas","Emp_codigo"
"FK__Contas_Bancarias__2E3BD7D3","Contas_Bancarias","Emp_codigo","Bancos_Caixas","Emp_codigo"
"FK__Contas_Bancarias__2E3BD7D3","Contas_Bancarias","Bcx_codigo","Bancos_Caixas","Bcx_codigo"
"FK__Contas_Bancarias__33008CF0","Contas_Bancarias","Bcx_codigo","Bancos_Caixas","Bcx_codigo"
"FK__Contas_Bancarias__33008CF0","Contas_Bancarias","Emp_codigo","Bancos_Caixas","Emp_codigo"
"FK__Contas_Bancarias__39AD8A7F","Contas_Bancarias","Emp_codigo","Bancos_Caixas","Emp_codigo"
"FK__Contas_Bancarias__39AD8A7F","Contas_Bancarias","Bcx_codigo","Bancos_Caixas","Bcx_codigo"
"FK_Contas_BancariasCobranca_Contas_BancariasCobranca","Contas_BancariasCobranca","CbaCob_codigo","Contas_BancariasCobranca","CbaCob_codigo"
"FK_contas_receber_Centro_de_custo","contas_receber","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK_contas_receber_Plano_Contas","contas_receber","Pco_codigo","Plano_Contas","Pco_codigo"
"FK_contas_receber_TipoContaFinanceira","contas_receber","Tcf_codigo","TipoContaFinanceira","Tcf_codigo"
"FK_ContatosPrincipais_TiposContatos","ContatosPrincipais","TpCont_codigo","TiposContatos","TpCont_codigo"
"FK_controle_entrega_data_motivo","controle_entrega_data","Mod_codigo","Motivo_devolucao","Mod_codigo"
"FK_ControleChequeDet_Controlecheque","ControleChequeDet","ControlCheque_Codigo","ControleCheque","ControlCheque_codigo"
"FK_ControleChequeDev_ControlechequeDet","ControleChequeDev","ControlChequeDet_Codigo","ControleChequeDet","ControlChequeDet_Codigo"
"FK_Centrodecusto","ControleRH","Cdc_codigo","Centro_de_custo","Cdc_codigo"
"FK_ComissaoPremiacao","ControleRH","ComPre_codigo","ComissaoPremiacao","ComPre_codigo"
"FK_FechamentoComissao","ControleRH","FechComis_Codigo","FechamentoComissao","FechComis_Codigo"
"FK_PlanodeContas","ControleRH","Pco_codigo","Plano_Contas","Pco_codigo"
"FK_Rateio","ControleRH","Rateio_Codigo","Rateio","Rateio_Codigo"
"FK_TipodeDocumento","ControleRH","Tpd_codigo","Tipo_documento","Tpd_codigo"
