id;idUsuario;idPai;Alterar;Excluir;Consultar;Imprimir;Inserir;idApresentacao;idGrupo;Emp_codigo
236;0;85;X;X;X;X;X;;5;
281;0;85;X;X;X;X;X;;5;
281;0;85;X;X;X;X;X;;5;
289;0;85;X;X;X;X;X;;5;
105;0;73;X;X;X;X;X;;5;
106;0;105;X;X;X;X;X;;5;
72;0;71;;;X;X;X;;2;
73;0;73;-;-;-;-;-;;2;
220;0;105;X;X;X;X;X;;5;
155;0;105;X;X;X;X;X;;5;
229;0;105;X;X;X;X;X;;5;
1;0;1;-;-;-;-;-;;6;
11;0;165;;;X;;;;6;
2;0;165;;;X;;;;6;
156;0;165;;;X;;;;6;
241;0;165;;;X;;;;6;
270;0;165;;;X;;;;6;
271;0;165;;;X;;;;6;
19;0;19;-;-;-;-;-;;6;
20;0;19;X;X;X;X;X;;6;
21;0;19;X;X;X;X;X;;6;
22;0;19;X;X;X;X;X;;6;
24;0;19;X;;X;;X;;6;
25;0;19;X;;X;;X;;6;
28;0;19;X;;X;X;X;;6;
29;0;28;;;X;;;;6;
36;0;36;-;-;-;-;-;;6;
37;0;36;X;X;X;X;X;;6;
38;0;36;X;X;X;X;X;;6;
39;0;36;X;X;X;X;X;;6;
41;0;36;X;X;X;X;X;;6;
273;0;36;X;X;X;X;X;;6;
179;0;36;X;X;X;X;X;;6;
44;0;44;-;-;-;-;-;;6;
45;0;44;X;X;X;X;X;;6;
46;0;44;X;X;X;X;X;;6;
47;0;44;X;X;X;X;X;;6;
148;0;44;X;X;X;X;X;;6;
152;0;44;X;X;X;X;X;;6;
223;0;44;X;X;X;X;X;;6;
154;0;44;X;X;X;X;X;;6;
48;0;48;-;-;-;-;-;;6;
49;0;48;X;X;X;X;X;;6;
51;0;48;X;X;X;X;X;;6;
52;0;51;X;X;X;X;X;;6;
53;0;51;X;X;X;X;X;;6;
74;0;73;;;X;;X;;2;
219;0;51;X;X;X;X;X;;6;
238;0;51;X;X;X;X;X;;6;
292;0;51;X;X;X;X;X;;6;
228;0;48;X;X;X;X;X;;6;
55;0;55;-;-;-;-;-;;6;
171;0;53;X;X;X;X;X;;6;
173;0;53;X;X;X;X;X;;6;
71;0;71;-;-;-;-;-;;6;
73;0;73;-;-;-;-;-;;6;
74;0;73;X;X;X;X;X;;6;
76;0;74;X;X;X;X;X;;6;
77;0;74;X;X;X;X;X;;6;
78;0;74;X;X;X;X;X;;6;
79;0;74;X;X;X;X;X;;6;
242;0;74;X;X;X;X;X;;6;
80;0;74;X;X;X;X;X;;6;
180;0;74;X;X;X;X;X;;6;
181;0;74;X;X;X;X;X;;6;
288;0;74;X;X;X;X;X;;6;
84;0;73;X;X;X;X;X;;6;
85;0;73;X;X;X;X;X;;6;
86;0;85;X;X;X;X;X;;6;
87;0;85;X;X;X;X;X;;6;
142;0;85;X;X;X;X;X;;6;
143;0;85;X;X;X;X;X;;6;
236;0;85;X;X;X;X;X;;6;
281;0;85;X;X;X;X;X;;6;
281;0;85;X;X;X;X;X;;6;
289;0;85;X;X;X;X;X;;6;
106;0;105;X;X;X;X;X;;6;
220;0;105;X;X;X;X;X;;6;
155;0;105;X;X;X;X;X;;6;
229;0;105;X;X;X;X;X;;6;
239;0;105;X;X;X;X;X;;6;
240;0;105;X;X;X;X;X;;6;
183;0;87;X;X;X;X;X;;6;
184;0;183;X;X;X;X;X;;6;
235;0;234;X;X;X;X;X;;6;
283;0;234;X;X;X;X;X;;6;
286;0;234;X;X;X;X;X;;6;
107;0;107;-;-;-;-;-;;6;
108;0;107;X;;X;X;X;;6;
112;0;112;-;-;-;-;-;;6;
176;0;55;X;X;X;X;X;;3;
202;0;55;X;X;X;X;X;;3;
139;0;55;X;X;X;X;X;;3;
210;0;55;X;X;X;X;X;;3;
221;0;55;X;X;X;X;X;;3;
226;0;55;X;;;;X;;3;
301;0;55;X;X;X;X;X;;3;
336;0;55;X;;;;X;;3;
71;0;71;-;-;-;-;-;;3;
72;0;71;X;X;X;X;X;;3;
73;0;73;-;-;-;-;-;;3;
74;0;73;X;X;X;X;X;;3;
76;0;74;X;X;X;X;X;;3;
77;0;74;X;X;X;X;X;;3;
78;0;74;X;X;X;X;X;;3;
79;0;74;X;X;X;X;X;;3;
242;0;74;X;X;X;X;X;;3;
80;0;74;X;X;X;X;X;;3;
180;0;74;X;X;X;X;X;;3;
181;0;74;X;X;X;X;X;;3;
153;0;74;X;X;X;X;X;;3;
82;0;74;X;X;X;X;X;;3;
83;0;74;X;X;X;X;X;;3;
147;0;74;X;X;X;X;X;;3;
284;0;74;X;X;X;X;X;;3;
288;0;74;X;X;X;X;X;;3;
299;0;74;X;X;X;X;X;;3;
303;0;74;X;X;X;X;X;;3;
316;0;74;X;X;X;X;X;;3;
329;0;74;X;X;X;X;X;;3;
84;0;73;X;X;X;X;X;;3;
85;0;73;X;X;X;X;X;;3;
86;0;85;X;X;X;X;X;;3;
87;0;85;X;X;X;X;X;;3;
142;0;85;X;X;X;X;X;;3;
143;0;85;X;X;X;X;X;;3;
228;0;48;X;X;X;X;X;;1;
54;0;48;X;X;X;X;X;;1;
320;0;48;X;X;X;X;X;;1;
321;0;48;X;X;X;X;X;;1;
55;0;55;-;-;-;-;-;;1;
56;0;55;X;X;X;X;X;;1;
57;0;56;X;X;X;X;X;;1;
294;0;56;X;X;X;X;X;;1;
58;0;55;X;X;X;X;X;;1;
59;0;58;X;X;X;X;X;;1;
295;0;58;X;X;X;X;X;;1;
60;0;55;X;X;X;X;X;;1;
236;0;85;X;X;X;X;X;;3;
281;0;85;X;X;X;X;X;;3;
281;0;85;X;X;X;X;X;;3;
289;0;85;X;X;X;X;X;;3;
319;0;85;X;X;X;X;X;;3;
88;0;73;X;X;X;X;X;;3;
89;0;88;X;X;X;X;X;;3;
90;0;88;X;X;X;X;X;;3;
91;0;88;X;X;X;X;X;;3;
145;0;88;X;X;X;X;X;;3;
157;0;88;X;X;X;X;X;;3;
77;0;74;;;X;X;X;;2;
79;0;74;;;X;X;X;;2;
135;0;135;-;-;-;-;-;;6;
138;0;138;-;-;-;-;-;;6;
242;0;74;;;X;X;X;;2;
80;0;74;;;X;X;;;2;
180;0;74;;;X;X;;;2;
153;0;74;;;X;X;;;2;
83;0;74;;;X;X;;;2;
147;0;74;;;X;X;;;2;
284;0;74;;;X;X;;;2;
299;0;74;;;X;X;;;2;
303;0;74;;;X;X;;;2;
90;0;88;;;X;X;;;2;
91;0;88;;;X;X;;;2;
145;0;88;;;X;X;;;2;
157;0;88;;;X;X;;;2;
158;0;88;X;X;X;X;X;;3;
159;0;88;X;X;X;X;X;;3;
160;0;88;X;X;X;X;X;;3;
61;0;60;X;X;X;X;X;;1;
62;0;60;X;X;X;X;X;;1;
63;0;60;X;X;X;X;X;;1;
64;0;55;X;X;X;X;X;;1;
222;0;88;X;X;X;X;X;;3;
224;0;88;X;X;X;X;X;;3;
292;0;51;X;X;X;X;X;;1;
293;0;51;X;X;X;X;X;;1;
65;0;64;X;X;X;X;X;;1;
66;0;64;X;X;X;X;X;;1;
67;0;64;X;X;X;X;X;;1;
69;0;55;X;X;X;X;X;;1;
70;0;55;X;X;X;X;X;;1;
171;0;53;X;X;X;X;X;;1;
172;0;53;X;X;X;X;X;;1;
173;0;53;X;X;X;X;X;;1;
300;0;53;X;X;X;X;X;;1;
175;0;55;X;X;X;X;X;;1;
176;0;55;X;X;X;X;X;;1;
146;0;55;X;X;X;X;X;;1;
202;0;55;X;X;X;X;X;;1;
139;0;55;X;X;X;X;X;;1;
210;0;55;X;X;X;X;X;;1;
221;0;55;X;X;X;X;X;;1;
226;0;55;X;X;X;X;X;;1;
301;0;55;X;X;X;X;X;;1;
336;0;55;X;X;X;X;X;;1;
71;0;71;-;-;-;-;-;;1;
150;0;149;;;X;X;;;2;
107;0;107;-;-;-;-;-;;2;
330;0;88;X;X;X;X;X;;3;
93;0;73;X;X;X;X;X;;3;
94;0;93;X;X;X;X;X;;3;
95;0;93;X;X;X;X;X;;3;
96;0;93;X;X;X;X;X;;3;
97;0;93;X;X;X;X;X;;3;
100;0;93;X;X;X;X;X;;3;
101;0;93;X;X;X;X;X;;3;
102;0;93;X;X;X;X;X;;3;
103;0;93;X;X;X;X;X;;3;
104;0;93;X;X;X;X;X;;3;
140;0;93;X;X;X;X;X;;3;
141;0;140;X;X;X;X;X;;3;
178;0;140;X;X;X;X;X;;3;
174;0;93;X;X;X;X;X;;3;
225;0;93;X;X;X;X;X;;3;
105;0;73;X;X;X;X;X;;3;
106;0;105;X;X;X;X;X;;3;
220;0;105;X;X;X;X;X;;3;
155;0;105;X;X;X;X;X;;3;
229;0;105;X;X;X;X;X;;3;
239;0;105;X;X;X;X;X;;3;
240;0;105;X;X;X;X;X;;3;
297;0;105;X;X;X;X;X;;3;
149;0;73;X;X;X;X;X;;3;
150;0;149;X;X;X;X;X;;3;
183;0;87;X;X;X;X;X;;3;
184;0;183;X;X;X;X;X;;3;
311;0;183;X;X;X;X;X;;3;
234;0;73;X;X;X;X;X;;3;
235;0;234;X;X;X;X;X;;3;
283;0;234;X;X;X;X;X;;3;
286;0;234;X;X;X;X;X;;3;
302;0;234;X;X;X;X;X;;3;
313;0;234;X;X;X;X;X;;3;
107;0;107;-;-;-;-;-;;3;
108;0;107;X;X;X;X;X;;3;
109;0;107;X;X;X;X;X;;3;
144;0;107;X;X;X;X;X;;3;
110;0;107;X;X;X;X;X;;3;
111;0;107;;;X;X;;;3;
112;0;112;-;-;-;-;-;;3;
113;0;112;X;X;X;X;X;;3;
114;0;113;X;X;X;X;X;;3;
214;0;113;X;X;X;X;X;;3;
215;0;214;X;X;X;X;X;;3;
216;0;214;X;X;X;X;X;;3;
115;0;112;X;X;X;X;X;;3;
116;0;115;X;X;X;X;X;;3;
117;0;115;X;X;X;X;X;;3;
120;0;112;X;X;X;X;X;;3;
121;0;120;X;X;X;X;X;;3;
72;0;71;X;X;X;X;X;;1;
73;0;73;-;-;-;-;-;;1;
74;0;73;X;X;X;X;X;;1;
76;0;74;X;X;X;X;X;;1;
77;0;74;X;X;X;X;X;;1;
78;0;74;X;X;X;X;X;;1;
79;0;74;X;X;X;X;X;;1;
242;0;74;X;X;X;X;X;;1;
80;0;74;X;X;X;X;X;;1;
180;0;74;X;X;X;X;X;;1;
181;0;74;X;X;X;X;X;;1;
153;0;74;X;X;X;X;X;;1;
82;0;74;X;X;X;X;X;;1;
83;0;74;X;X;X;X;X;;1;
147;0;74;X;X;X;X;X;;1;
284;0;74;X;X;X;X;X;;1;
288;0;74;X;X;X;X;X;;1;
299;0;74;X;X;X;X;X;;1;
303;0;74;X;X;X;X;X;;1;
316;0;74;X;X;X;X;X;;1;
329;0;74;X;X;X;X;X;;1;
84;0;73;X;X;X;X;X;;1;
85;0;73;X;X;X;X;X;;1;
86;0;85;X;X;X;X;X;;1;
87;0;85;X;X;X;X;X;;1;
142;0;85;X;X;X;X;X;;1;
143;0;85;X;X;X;X;X;;1;
236;0;85;X;X;X;X;X;;1;
281;0;85;X;X;X;X;X;;1;
281;0;85;X;X;X;X;X;;1;
289;0;85;X;X;X;X;X;;1;
319;0;85;X;X;X;X;X;;1;
88;0;73;X;X;X;X;X;;1;
89;0;88;X;X;X;X;X;;1;
90;0;88;X;X;X;X;X;;1;
91;0;88;X;X;X;X;X;;1;
145;0;88;X;X;X;X;X;;1;
157;0;88;X;X;X;X;X;;1;
158;0;88;X;X;X;X;X;;1;
159;0;88;X;X;X;X;X;;1;
160;0;88;X;X;X;X;X;;1;
231;0;88;X;X;X;X;X;;1;
182;0;88;X;X;X;X;X;;1;
222;0;88;X;X;X;X;X;;1;
224;0;88;X;X;X;X;X;;1;
290;0;88;X;X;X;X;X;;1;
291;0;88;X;X;X;X;X;;1;
309;0;88;X;X;X;X;X;;1;
326;0;88;X;X;X;X;X;;1;
330;0;88;X;X;X;X;X;;1;
93;0;73;X;X;X;X;X;;1;
94;0;93;X;X;X;X;X;;1;
95;0;93;X;X;X;X;X;;1;
96;0;93;X;X;X;X;X;;1;
315;0;93;X;X;X;X;X;;1;
97;0;93;X;X;X;X;X;;1;
100;0;93;X;X;X;X;X;;1;
101;0;93;X;X;X;X;X;;1;
102;0;93;X;X;X;X;X;;1;
103;0;93;X;X;X;X;X;;1;
104;0;93;X;X;X;X;X;;1;
140;0;93;X;X;X;X;X;;1;
141;0;140;X;X;X;X;X;;1;
178;0;140;X;X;X;X;X;;1;
174;0;93;X;X;X;X;X;;1;
225;0;93;X;X;X;X;X;;1;
105;0;73;X;X;X;X;X;;1;
106;0;105;X;X;X;X;X;;1;
220;0;105;X;X;X;X;X;;1;
155;0;105;X;X;X;X;X;;1;
229;0;105;X;X;X;X;X;;1;
239;0;105;X;X;X;X;X;;1;
240;0;105;X;X;X;X;X;;1;
297;0;105;X;X;X;X;X;;1;
149;0;73;X;X;X;X;X;;1;
150;0;149;X;X;X;X;X;;1;
183;0;87;X;X;X;X;X;;1;
184;0;183;X;X;X;X;X;;1;
311;0;183;X;X;X;X;X;;1;
332;0;183;X;X;X;X;X;;1;
234;0;73;X;X;X;X;X;;1;
235;0;234;X;X;X;X;X;;1;
283;0;234;X;X;X;X;X;;1;
286;0;234;X;X;X;X;X;;1;
302;0;234;X;X;X;X;X;;1;
313;0;234;X;X;X;X;X;;1;
107;0;107;-;-;-;-;-;;1;
108;0;107;X;X;X;X;X;;1;
109;0;107;X;X;X;X;X;;1;
144;0;107;X;X;X;X;X;;1;
110;0;107;X;X;X;X;X;;1;
1;0;1;-;-;-;-;-;;4;
3;0;1;;;X;;;;4;
189;0;1;;;X;;;;4;
190;0;189;;;X;;;;4;
191;0;189;;;X;;;;4;
4;0;189;;;X;;;;4;
5;0;189;;;X;;;;4;
165;0;1;;;X;;;;4;
270;0;165;;;X;;;;4;
271;0;165;;;X;;;;4;
272;0;165;;;X;;;;4;
19;0;19;-;-;-;-;-;;4;
20;0;19;;;X;;X;;4;
21;0;19;;;X;;;;4;
24;0;19;;;X;;;;4;
25;0;19;;;X;;;;4;
28;0;19;;;X;;;;4;
29;0;28;;;X;;;;4;
32;0;19;;;X;;;;4;
36;0;36;-;-;-;-;-;;4;
38;0;36;X;;X;X;X;;4;
39;0;36;X;;X;X;X;;4;
170;0;36;;;X;X;X;;4;
273;0;36;X;;X;X;X;;4;
179;0;36;X;;X;X;X;;4;
213;0;36;;;X;X;;;4;
44;0;44;-;-;-;-;-;;4;
