Cus_codigo;for_codigo;Cus_Nome;Cus_desconto1;Cus_desconto2;Cus_desconto3;Cus_desconto4;Cus_IPI;Cus_Frete;Cus_Icms;Cus_Embalagens;Cus_Financeira;Cus_Simples;Cus_outros;Cus_obs;Cus_MargValAgreg;Cus_IcmsDestino;Cus_TributacaoICMS;Cus_situacao;Cus_Importacao;Cus_Cambio;Cus_TpVlNFo;Cus_NFoICMS;Cus_NFoOutros;Cus_NFoIPI;Cus_NFoSimples;Cus_NFoEmbalagem;Cus_NFoFinanceiro;Cus_NFoFrete;Cus_NFoDesconto;Cus_ICMSDifAlqIPI;Cus_PorcCartao;Cus_STEmbalagem;Cus_CreditoICMS;Cus_CreditoPIS;Cus_CreditoCOFINS;Cus_CustoFixo;Cus_Desconto;Cus_FreteemCompra;Cus_ICMSValorCompra
80;29;PIER;;;;;0,0000;;0,0000;;;;;Margem - 2,50  IPI - Isento ST - Isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
81;26;INTRAL LAMPADAS;0,0000;;;;10,0000;;23,2800;;;;;Margem - 2,20   IPI - 10%  ST - 23,28%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
91;30;DONA CLO;;;;;0,0000;;8,7000;;;;0,0000;Margem - 2,6  IPI - isento ST - 8,7%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
92;31;MUNCLAIR;;;;;0,0000;;8,8200;;;;;Margem 2,4  IPI - Isento ST - 8,82%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
93;31;MUNCLAIR AJ E CL;;;;;0,0000;;8,2800;;;;0,0000;Margem 2,4  IPI - Isento ST- 8,28%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
94;32;XELUX;;;;;0,0000;;0,0000;;;;0,0000;Margem - 2,1  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
95;33;PHILIPS;;;;;0,0000;;0,0000;;;;0,0000;Margem - 2,1  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
96;34;RCG;;;;;0,0000;;0,0000;;;;0,0000;Margem - 2.1  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
97;35;FABBIAN;;;;;0,0000;;0,0000;;;;;Margem - 2,5  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
98;36;ESTUDIO BOLA;;;;;15,0000;;24,5300;;;;0,0000;Margem - 2,50  IPI - 15%  ST - 24,53%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
99;37;VIDROCOR;;;;;0,0000;;0,0000;;;;;Margem- 2,50  IPI - isento ST - isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
100;38;MOOOI;;;;;0,0000;;18,0000;;;;0,0000;Margem - 2,50  IPI - incluso tabela  ST- 18%;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
101;39;VERTZ;;;;;0,0000;;0,0000;;;;0,0000;MARGEM - 2,1  IPI - isento  ST - Isento;0;0;SUBSTITUIÇÃO TRIBUTÁRIA;A;;;1;False;False;False;False;False;False;False;False;;;False;;;;;;False;False
