for_codigo;Ipr_descricao;Ipr_custo;Ipr_produto;Ipr_vl_Tabela;Ipr_vl_Custo;Ipr_vl_com_inter;Ipr_vl_com_exter;Ipr_vl_venda;Ipr_desconto;Ipr_Lucro;Ipr_vl_Lucro;Ipr_Indice;Ipr_CodigoSigla;Ipr_situacao;Ipr_IndiceVlCusto;Ipr_VlLucroCusto;Ipr_CustoTotal
673;PIX;328;LUMINARIA LUTZ DELTA;1534,9500;2173,4900;0,0000;0,0000;4401,4700;0,0000;50,6190;2227,9800;2,8700;327;A;2,03;102,507;2173,49
673;PIX FONTES;346;FONTE DE 100W 24V;33,1300;44,7200;0,0000;0,0000;87,7900;0,0000;49,0603;43,0700;2,6500;345;A;1,96;96,3104;44,72
673;PIX FONTES - SP;418;FONTE DE 100W 24V;33,1300;44,3500;0,0000;0,0000;103,9800;0,0000;57,3476;59,6300;3,1400;418;A;2,34;134,4532;44,35
682;LA LUNE PEÇA;329;LUMINARIA START;1700,0000;1700,0000;0,0000;0,0000;4080,0000;0,0000;58,3333;2380,0000;2,4000;328;A;2,4;140;1700
686;DI LUCE;331;LUMINARIAS;1612,0000;2079,4800;0,0000;0,0000;4030,0000;0,0000;48,4000;1950,5200;2,5000;330;A;1,94;93,7984;2079,48
686;DI LUCE - SP;414;PENDENTE FLAMINGO;1992,0000;2569,6800;0,0000;0,0000;6952,0800;0,0000;63,0372;4382,4000;3,4900;414;A;2,71;170,5426;2569,68
701;BELLA LUCE;333;LUMINARIA EMBUTIDA;62,5300;62,5300;0,0000;0,0000;169,5600;0,0000;63,1222;107,0300;2,7100;332;A;2,71;171,1658;62,53
704;DESSINE;335;;1200,0000;1344,0000;0,0000;0,0000;3144,0000;0,0000;57,2519;1800,0000;2,6200;334;A;2,34;133,9286;1344
710;LIGHT;338;;3671,4900;3671,4900;0,0000;0,0000;3671,4900;0,0000;0,0000;0,0000;1,0000;337;A;1;0;3671,49
718;LUXION;339;ANNA ARANDELA 5W 2700K DOURADO BIV;753,0900;826,5200;0,0000;0,0000;2031,4600;0,0000;59,3100;1204,9400;2,7000;338;A;2,46;145,7847;826,52
718;LUXION - SP;390;ANNA ARANDELA;753,0900;826,5200;0,0000;0,0000;2483,3200;0,0000;66,7171;1656,8000;3,3000;389;A;3;200,4549;826,52
730;DRESSALL;344;;2800,0000;2800,0000;0,0000;0,0000;7000,0000;0,0000;60,0000;4200,0000;2,5000;343;A;2,5;150;2800
747;ALISEU;345;VENTILADOR VIME;1454,3000;1454,3000;0,0000;0,0000;3635,7500;0,0000;60,0000;2181,4500;2,5000;344;A;2,5;150;1454,3
785;LIGHT DESIGN;348;CONECTA PROJETOR;836,4500;918,0000;0,0000;0,0000;2089,0300;0,0000;56,0562;1171,0300;2,5000;346;A;2,28;127,5632;918
785;LIGHT DESIGN - SP;387;CONECTA PROJETOR;836,4500;918,0000;0,0000;0,0000;2758,1900;0,0000;66,7173;1840,1900;3,3000;400;A;3;200,4564;918
801;NORDECOR;369;ARANDELA MUSCHE 3*E14 OURO BRILHO;566,3400;566,3400;0,0000;0,0000;1415,8500;0,0000;60,0000;849,5100;2,5000;368;A;2,5;150;566,34
801;NORDECOR - SP;370;ARANDELA MUSCHE 3*E14 OURO BRILHO;566,3400;566,3400;0,0000;0,0000;1812,2900;0,0000;68,7500;1245,9500;3,2000;369;A;3,2;220,0004;566,34
804;SKYLIGHT;376;PENDENTE ÔTAKI Ø40CM RATTAN -3 METROS DE CABO;410,3000;508,3600;0,0000;0,0000;1123,8100;0,0000;54,7646;615,4500;2,7400;375;A;2,21;121,0658;508,36
805;SINDORA;380;PENDENTE BORBOLETA;220,0000;220,0000;0,0000;0,0000;550,0000;0,0000;60,0000;330,0000;2,5000;379;A;2,5;150;220
808;MARILENA G;385;ARANDELA JULIETA | PINTURA ELETROSTÁTICA | JO;458,0000;496,7500;0,0000;0,0000;1183,7500;0,0000;58,0359;687,0000;2,5800;384;A;2,38;138,2989;496,75
